energy_consumed,num_num_features,num_cat_features,number_of_instances,model
2.4748198736716632e-06,3,8,192000.0,3.0
2.718448639677401e-06,3,8,128000.0,3.0
1.0451412538824597e-06,3,8,63999.999999999985,3.0
3.494068876047626e-06,2,8,320000.0,3.0
3.1224364303830674e-06,2,8,256000.0,3.0
2.0411182279284883e-06,2,8,192000.0,3.0
1.3425469212810035e-06,2,8,128000.0,3.0
1.1086422275771687e-06,2,8,63999.999999999985,3.0
5.76512052730891e-06,4,5,320000.0,3.0
2.3882563008372573e-06,4,5,256000.0,3.0
1.7067134551316106e-06,4,5,192000.0,3.0
1.2163459917871932e-06,4,5,128000.0,3.0
6.841908768128254e-07,4,5,63999.999999999985,3.0
3.5244251017963456e-06,2,6,320000.0,3.0
4.702298031901048e-06,2,6,256000.0,3.0
1.9711266038029865e-06,2,6,192000.0,3.0
1.1526607425347873e-06,2,6,128000.0,3.0
6.580268274117569e-07,2,6,63999.999999999985,3.0
3.17490941478569e-06,3,4,320000.0,3.0
2.4238197189027408e-06,3,4,256000.0,3.0
3.592115696641448e-06,3,4,192000.0,3.0
1.5681432610601103e-06,3,4,128000.0,3.0
7.604403090450912e-07,3,4,63999.999999999985,3.0
3.1330687774079203e-06,1,5,320000.0,3.0
2.451596448276582e-06,1,5,256000.0,3.0
1.9169193795050886e-06,1,5,192000.0,3.0
1.641515157218186e-06,1,5,128000.0,3.0
9.776795666034057e-07,1,5,63999.999999999985,3.0
2.820202590471708e-06,1,4,320000.0,3.0
1.8295779128995568e-06,1,4,256000.0,3.0
1.7605175466295958e-06,1,4,192000.0,3.0
1.1896970652366511e-06,1,4,128000.0,3.0
7.11460690088946e-07,1,4,63999.999999999985,3.0
4.694369356871498e-06,2,2,320000.0,3.0
2.0165519812684985e-06,2,2,256000.0,3.0
1.4836526012351846e-06,2,2,192000.0,3.0
1.0039449175536676e-06,2,2,128000.0,3.0
5.6245683393633e-07,2,2,63999.999999999985,3.0
2.092411153651281e-06,1,2,320000.0,3.0
3.4231776915902403e-06,1,2,256000.0,3.0
2.6092559526808324e-06,1,2,192000.0,3.0
9.307388183212122e-07,1,2,128000.0,3.0
4.7017448609286324e-07,1,2,63999.999999999985,3.0
2.041796096285806e-06,0,2,320000.0,3.0
1.7220932609957473e-06,0,2,256000.0,3.0
1.855583933011139e-06,0,2,192000.0,3.0
1.9397179071205528e-06,0,2,128000.0,3.0
6.29363923163674e-07,0,2,63999.999999999985,3.0
2.028339791307745e-06,0,1,320000.0,3.0
1.8874960075670013e-06,0,1,256000.0,3.0
1.4564568544380388e-06,0,1,192000.0,3.0
9.893242305597344e-07,0,1,128000.0,3.0
6.897152072487719e-07,0,1,63999.999999999985,3.0
5.09519238511334e-06,4,13,320000.0,3.0
4.134571424578819e-06,4,13,256000.0,3.0
3.131636503685324e-06,4,13,192000.0,3.0
2.0221125164466813e-06,4,13,128000.0,3.0
1.0267491020332247e-06,4,13,63999.999999999985,3.0
8.098136562173864e-06,4,12,320000.0,3.0
3.287804505999108e-06,4,12,256000.0,3.0
2.4333004679303058e-06,4,12,192000.0,3.0
1.6685757585406691e-06,4,12,128000.0,3.0
